Tick,CPU_Task,CPU_Util%,TaskID,Name,State
0,T_B,100,1,T_A,ready
0,T_B,100,2,T_B,running
0,T_B,100,3,T_C,ready
1,IDLE,100,1,T_A,ready
1,IDLE,100,2,T_B,finished
1,IDLE,100,3,T_C,ready
2,T_A,100,1,T_A,running
2,T_A,100,2,T_B,finished
2,T_A,100,3,T_C,ready
3,IDLE,100,1,T_A,finished
3,IDLE,100,2,T_B,finished
3,IDLE,100,3,T_C,ready
4,T_C,100,1,T_A,finished
4,T_C,100,2,T_B,finished
4,T_C,100,3,T_C,running
6,IDLE,100,1,T_A,finished
6,IDLE,100,2,T_B,finished
6,IDLE,100,3,T_C,finished
8,T_A,88.8889,1,T_A,running
8,T_A,88.8889,2,T_B,finished
8,T_A,88.8889,3,T_C,finished
9,IDLE,90,1,T_A,finished
9,IDLE,90,2,T_B,finished
9,IDLE,90,3,T_C,finished
12,T_B,76.9231,1,T_A,finished
12,T_B,76.9231,2,T_B,running
12,T_B,76.9231,3,T_C,finished
13,IDLE,78.5714,1,T_A,finished
13,IDLE,78.5714,2,T_B,finished
13,IDLE,78.5714,3,T_C,finished
16,T_A,70.5882,1,T_A,running
16,T_A,70.5882,2,T_B,finished
16,T_A,70.5882,3,T_C,finished
17,IDLE,72.2222,1,T_A,finished
17,IDLE,72.2222,2,T_B,finished
17,IDLE,72.2222,3,T_C,finished
20,T_C,66.6667,1,T_A,finished
20,T_C,66.6667,2,T_B,finished
20,T_C,66.6667,3,T_C,running
22,IDLE,69.5652,1,T_A,finished
22,IDLE,69.5652,2,T_B,finished
22,IDLE,69.5652,3,T_C,finished
24,T_B,68,1,T_A,ready
24,T_B,68,2,T_B,running
24,T_B,68,3,T_C,finished
25,IDLE,69.2308,1,T_A,ready
25,IDLE,69.2308,2,T_B,finished
25,IDLE,69.2308,3,T_C,finished
26,T_A,70.3704,1,T_A,running
26,T_A,70.3704,2,T_B,finished
26,T_A,70.3704,3,T_C,finished
27,IDLE,71.4286,1,T_A,finished
27,IDLE,71.4286,2,T_B,finished
27,IDLE,71.4286,3,T_C,finished
32,T_A,63.6364,1,T_A,running
32,T_A,63.6364,2,T_B,finished
32,T_A,63.6364,3,T_C,finished
33,IDLE,64.7059,1,T_A,finished
33,IDLE,64.7059,2,T_B,finished
33,IDLE,64.7059,3,T_C,finished
36,T_B,62.1622,1,T_A,finished
36,T_B,62.1622,2,T_B,running
36,T_B,62.1622,3,T_C,finished
37,IDLE,63.1579,1,T_A,finished
37,IDLE,63.1579,2,T_B,finished
37,IDLE,63.1579,3,T_C,finished
40,T_A,60.9756,1,T_A,running
40,T_A,60.9756,2,T_B,finished
40,T_A,60.9756,3,T_C,ready
41,IDLE,61.9048,1,T_A,finished
41,IDLE,61.9048,2,T_B,finished
41,IDLE,61.9048,3,T_C,ready
42,T_C,62.7907,1,T_A,finished
42,T_C,62.7907,2,T_B,finished
42,T_C,62.7907,3,T_C,running
44,IDLE,64.4444,1,T_A,finished
44,IDLE,64.4444,2,T_B,finished
44,IDLE,64.4444,3,T_C,finished
48,T_B,61.2245,1,T_A,ready
48,T_B,61.2245,2,T_B,running
48,T_B,61.2245,3,T_C,finished
49,IDLE,62,1,T_A,ready
49,IDLE,62,2,T_B,finished
49,IDLE,62,3,T_C,finished
50,T_A,62.7451,1,T_A,running
50,T_A,62.7451,2,T_B,finished
50,T_A,62.7451,3,T_C,finished
51,IDLE,63.4615,1,T_A,finished
51,IDLE,63.4615,2,T_B,finished
51,IDLE,63.4615,3,T_C,finished
56,T_A,59.6491,1,T_A,running
56,T_A,59.6491,2,T_B,finished
56,T_A,59.6491,3,T_C,finished
57,IDLE,60.3448,1,T_A,finished
57,IDLE,60.3448,2,T_B,finished
57,IDLE,60.3448,3,T_C,finished
60,T_B,59.0164,1,T_A,finished
60,T_B,59.0164,2,T_B,running
60,T_B,59.0164,3,T_C,ready
61,IDLE,59.6774,1,T_A,finished
61,IDLE,59.6774,2,T_B,finished
61,IDLE,59.6774,3,T_C,ready
62,T_C,60.3175,1,T_A,finished
62,T_C,60.3175,2,T_B,finished
62,T_C,60.3175,3,T_C,running
64,T_A,61.5385,1,T_A,running
64,T_A,61.5385,2,T_B,finished
64,T_A,61.5385,3,T_C,ready
65,IDLE,62.1212,1,T_A,finished
65,IDLE,62.1212,2,T_B,finished
65,IDLE,62.1212,3,T_C,ready
66,IDLE,62.6866,1,T_A,finished
66,IDLE,62.6866,2,T_B,finished
66,IDLE,62.6866,3,T_C,finished
72,T_B,58.9041,1,T_A,ready
72,T_B,58.9041,2,T_B,running
72,T_B,58.9041,3,T_C,finished
73,IDLE,59.4595,1,T_A,ready
73,IDLE,59.4595,2,T_B,finished
73,IDLE,59.4595,3,T_C,finished
74,T_A,60,1,T_A,running
74,T_A,60,2,T_B,finished
74,T_A,60,3,T_C,finished
75,IDLE,60.5263,1,T_A,finished
75,IDLE,60.5263,2,T_B,finished
75,IDLE,60.5263,3,T_C,finished
80,T_A,58.0247,1,T_A,running
80,T_A,58.0247,2,T_B,finished
80,T_A,58.0247,3,T_C,ready
81,IDLE,58.5366,1,T_A,finished
81,IDLE,58.5366,2,T_B,finished
81,IDLE,58.5366,3,T_C,ready
82,T_C,59.0361,1,T_A,finished
82,T_C,59.0361,2,T_B,finished
82,T_C,59.0361,3,T_C,running
84,T_B,60,1,T_A,finished
84,T_B,60,2,T_B,running
84,T_B,60,3,T_C,ready
85,IDLE,60.4651,1,T_A,finished
85,IDLE,60.4651,2,T_B,finished
85,IDLE,60.4651,3,T_C,ready
86,IDLE,60.9195,1,T_A,finished
86,IDLE,60.9195,2,T_B,finished
86,IDLE,60.9195,3,T_C,finished
88,T_A,60.6742,1,T_A,running
88,T_A,60.6742,2,T_B,finished
88,T_A,60.6742,3,T_C,finished
89,IDLE,61.1111,1,T_A,finished
89,IDLE,61.1111,2,T_B,finished
89,IDLE,61.1111,3,T_C,finished
96,T_B,57.732,1,T_A,ready
96,T_B,57.732,2,T_B,running
96,T_B,57.732,3,T_C,finished
97,IDLE,58.1633,1,T_A,ready
97,IDLE,58.1633,2,T_B,finished
97,IDLE,58.1633,3,T_C,finished
98,T_A,58.5859,1,T_A,running
98,T_A,58.5859,2,T_B,finished
98,T_A,58.5859,3,T_C,finished
99,IDLE,59,1,T_A,finished
99,IDLE,59,2,T_B,finished
99,IDLE,59,3,T_C,finished
100,T_C,59.4059,1,T_A,finished
100,T_C,59.4059,2,T_B,finished
100,T_C,59.4059,3,T_C,running
102,IDLE,60.1942,1,T_A,finished
102,IDLE,60.1942,2,T_B,finished
102,IDLE,60.1942,3,T_C,finished
104,T_A,60,1,T_A,running
104,T_A,60,2,T_B,finished
104,T_A,60,3,T_C,finished
