META,DeadlineMisses,0
META,CPUUtil,86.5
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
0,IDLE,100,32,T1,ready
0,IDLE,100,33,T2,ready
0,IDLE,100,34,T3,finished
0,IDLE,100,35,T4,ready
0,IDLE,100,36,T5,ready
0,IDLE,100,37,T6,ready
0,IDLE,100,38,T7,ready
0,IDLE,100,39,T8,ready
0,IDLE,100,40,T9,ready
0,IDLE,100,41,T10,ready
1,IDLE,100,32,T1,finished
1,IDLE,100,33,T2,ready
1,IDLE,100,34,T3,finished
1,IDLE,100,35,T4,ready
1,IDLE,100,36,T5,ready
1,IDLE,100,37,T6,ready
1,IDLE,100,38,T7,ready
1,IDLE,100,39,T8,ready
1,IDLE,100,40,T9,ready
1,IDLE,100,41,T10,ready
2,IDLE,100,32,T1,finished
2,IDLE,100,33,T2,ready
2,IDLE,100,34,T3,finished
2,IDLE,100,35,T4,finished
2,IDLE,100,36,T5,ready
2,IDLE,100,37,T6,ready
2,IDLE,100,38,T7,ready
2,IDLE,100,39,T8,ready
2,IDLE,100,40,T9,ready
2,IDLE,100,41,T10,ready
3,IDLE,100,32,T1,finished
3,IDLE,100,33,T2,finished
3,IDLE,100,34,T3,finished
3,IDLE,100,35,T4,finished
3,IDLE,100,36,T5,ready
3,IDLE,100,37,T6,ready
3,IDLE,100,38,T7,ready
3,IDLE,100,39,T8,ready
3,IDLE,100,40,T9,ready
3,IDLE,100,41,T10,ready
4,IDLE,100,32,T1,finished
4,IDLE,100,33,T2,finished
4,IDLE,100,34,T3,finished
4,IDLE,100,35,T4,finished
4,IDLE,100,36,T5,finished
4,IDLE,100,37,T6,ready
4,IDLE,100,38,T7,ready
4,IDLE,100,39,T8,ready
4,IDLE,100,40,T9,ready
4,IDLE,100,41,T10,ready
5,IDLE,100,32,T1,finished
5,IDLE,100,33,T2,finished
5,IDLE,100,34,T3,finished
5,IDLE,100,35,T4,finished
5,IDLE,100,36,T5,finished
5,IDLE,100,37,T6,ready
5,IDLE,100,38,T7,ready
5,IDLE,100,39,T8,ready
5,IDLE,100,40,T9,ready
5,IDLE,100,41,T10,ready
6,T6,100,32,T1,finished
6,T6,100,33,T2,finished
6,T6,100,34,T3,finished
6,T6,100,35,T4,finished
6,T6,100,36,T5,finished
6,T6,100,37,T6,running
6,T6,100,38,T7,ready
6,T6,100,39,T8,ready
6,T6,100,40,T9,ready
6,T6,100,41,T10,ready
7,IDLE,100,32,T1,finished
7,IDLE,100,33,T2,finished
7,IDLE,100,34,T3,finished
7,IDLE,100,35,T4,finished
7,IDLE,100,36,T5,finished
7,IDLE,100,37,T6,finished
7,IDLE,100,38,T7,ready
7,IDLE,100,39,T8,ready
7,IDLE,100,40,T9,ready
7,IDLE,100,41,T10,ready
8,IDLE,100,32,T1,finished
8,IDLE,100,33,T2,finished
8,IDLE,100,34,T3,finished
8,IDLE,100,35,T4,finished
8,IDLE,100,36,T5,ready
8,IDLE,100,37,T6,finished
8,IDLE,100,38,T7,finished
8,IDLE,100,39,T8,ready
8,IDLE,100,40,T9,ready
8,IDLE,100,41,T10,ready
9,IDLE,100,32,T1,finished
9,IDLE,100,33,T2,finished
9,IDLE,100,34,T3,finished
9,IDLE,100,35,T4,finished
9,IDLE,100,36,T5,ready
9,IDLE,100,37,T6,finished
9,IDLE,100,38,T7,finished
9,IDLE,100,39,T8,finished
9,IDLE,100,40,T9,ready
9,IDLE,100,41,T10,ready
10,IDLE,100,32,T1,finished
10,IDLE,100,33,T2,finished
10,IDLE,100,34,T3,finished
10,IDLE,100,35,T4,finished
10,IDLE,100,36,T5,ready
10,IDLE,100,37,T6,ready
10,IDLE,100,38,T7,finished
10,IDLE,100,39,T8,finished
10,IDLE,100,40,T9,ready
10,IDLE,100,41,T10,ready
11,IDLE,100,32,T1,finished
11,IDLE,100,33,T2,finished
11,IDLE,100,34,T3,finished
11,IDLE,100,35,T4,finished
11,IDLE,100,36,T5,finished
11,IDLE,100,37,T6,ready
11,IDLE,100,38,T7,finished
11,IDLE,100,39,T8,finished
11,IDLE,100,40,T9,ready
11,IDLE,100,41,T10,ready
12,IDLE,100,32,T1,finished
12,IDLE,100,33,T2,finished
12,IDLE,100,34,T3,finished
12,IDLE,100,35,T4,finished
12,IDLE,100,36,T5,finished
12,IDLE,100,37,T6,ready
12,IDLE,100,38,T7,ready
12,IDLE,100,39,T8,finished
12,IDLE,100,40,T9,finished
12,IDLE,100,41,T10,ready
13,T6,100,32,T1,finished
13,T6,100,33,T2,finished
13,T6,100,34,T3,finished
13,T6,100,35,T4,finished
13,T6,100,36,T5,finished
13,T6,100,37,T6,running
13,T6,100,38,T7,ready
13,T6,100,39,T8,finished
13,T6,100,40,T9,finished
13,T6,100,41,T10,ready
14,IDLE,100,32,T1,finished
14,IDLE,100,33,T2,finished
14,IDLE,100,34,T3,finished
14,IDLE,100,35,T4,finished
14,IDLE,100,36,T5,finished
14,IDLE,100,37,T6,finished
14,IDLE,100,38,T7,ready
14,IDLE,100,39,T8,finished
14,IDLE,100,40,T9,finished
14,IDLE,100,41,T10,ready
15,IDLE,100,32,T1,finished
15,IDLE,100,33,T2,finished
15,IDLE,100,34,T3,finished
15,IDLE,100,35,T4,finished
15,IDLE,100,36,T5,finished
15,IDLE,100,37,T6,finished
15,IDLE,100,38,T7,ready
15,IDLE,100,39,T8,ready
15,IDLE,100,40,T9,finished
15,IDLE,100,41,T10,ready
16,IDLE,100,32,T1,finished
16,IDLE,100,33,T2,finished
16,IDLE,100,34,T3,finished
16,IDLE,100,35,T4,finished
16,IDLE,100,36,T5,finished
16,IDLE,100,37,T6,finished
16,IDLE,100,38,T7,ready
16,IDLE,100,39,T8,ready
16,IDLE,100,40,T9,finished
16,IDLE,100,41,T10,ready
