META,DeadlineMisses,140
META,CPUUtil,100
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
0,IDLE,100,1,T1,ready
0,IDLE,100,2,T2,ready
0,IDLE,100,3,T3,ready
0,IDLE,100,4,T4,ready
0,IDLE,100,5,T5,ready
0,IDLE,100,6,T6,ready
0,IDLE,100,7,T7,ready
0,IDLE,100,8,T8,ready
0,IDLE,100,9,T9,ready
0,IDLE,100,10,T10,finished
1,IDLE,100,1,T1,ready
1,IDLE,100,2,T2,ready
1,IDLE,100,3,T3,ready
1,IDLE,100,4,T4,ready
1,IDLE,100,5,T5,ready
1,IDLE,100,6,T6,ready
1,IDLE,100,7,T7,ready
1,IDLE,100,8,T8,ready
1,IDLE,100,9,T9,finished
1,IDLE,100,10,T10,finished
2,IDLE,100,1,T1,ready
2,IDLE,100,2,T2,ready
2,IDLE,100,3,T3,ready
2,IDLE,100,4,T4,ready
2,IDLE,100,5,T5,ready
2,IDLE,100,6,T6,ready
2,IDLE,100,7,T7,ready
2,IDLE,100,8,T8,finished
2,IDLE,100,9,T9,finished
2,IDLE,100,10,T10,finished
3,IDLE,100,1,T1,ready
3,IDLE,100,2,T2,ready
3,IDLE,100,3,T3,ready
3,IDLE,100,4,T4,ready
3,IDLE,100,5,T5,ready
3,IDLE,100,6,T6,ready
3,IDLE,100,7,T7,finished
3,IDLE,100,8,T8,finished
3,IDLE,100,9,T9,finished
3,IDLE,100,10,T10,finished
4,T6,100,1,T1,ready
4,T6,100,2,T2,ready
4,T6,100,3,T3,missed
4,T6,100,4,T4,ready
4,T6,100,5,T5,ready
4,T6,100,6,T6,running
4,T6,100,7,T7,finished
4,T6,100,8,T8,finished
4,T6,100,9,T9,finished
4,T6,100,10,T10,finished
5,IDLE,100,1,T1,missed
5,IDLE,100,2,T2,ready
5,IDLE,100,3,T3,missed
5,IDLE,100,4,T4,ready
5,IDLE,100,5,T5,ready
5,IDLE,100,6,T6,finished
5,IDLE,100,7,T7,finished
5,IDLE,100,8,T8,finished
5,IDLE,100,9,T9,finished
5,IDLE,100,10,T10,finished
6,IDLE,100,1,T1,missed
6,IDLE,100,2,T2,ready
6,IDLE,100,3,T3,missed
6,IDLE,100,4,T4,missed
6,IDLE,100,5,T5,finished
6,IDLE,100,6,T6,finished
6,IDLE,100,7,T7,finished
6,IDLE,100,8,T8,finished
6,IDLE,100,9,T9,finished
6,IDLE,100,10,T10,finished
7,IDLE,100,1,T1,missed
7,IDLE,100,2,T2,missed
7,IDLE,100,3,T3,missed
7,IDLE,100,4,T4,finished
7,IDLE,100,5,T5,finished
7,IDLE,100,6,T6,finished
7,IDLE,100,7,T7,finished
7,IDLE,100,8,T8,finished
7,IDLE,100,9,T9,finished
7,IDLE,100,10,T10,finished
8,IDLE,100,1,T1,missed
8,IDLE,100,2,T2,missed
8,IDLE,100,3,T3,missed
8,IDLE,100,4,T4,finished
8,IDLE,100,5,T5,finished
8,IDLE,100,6,T6,finished
8,IDLE,100,7,T7,finished
8,IDLE,100,8,T8,finished
8,IDLE,100,9,T9,finished
8,IDLE,100,10,T10,finished
9,T4,100,1,T1,missed
9,T4,100,2,T2,missed
9,T4,100,3,T3,missed
9,T4,100,4,T4,running
9,T4,100,5,T5,finished
9,T4,100,6,T6,finished
9,T4,100,7,T7,finished
9,T4,100,8,T8,finished
9,T4,100,9,T9,finished
9,T4,100,10,T10,finished
10,T6,100,1,T1,missed
10,T6,100,2,T2,missed
10,T6,100,3,T3,missed
10,T6,100,4,T4,ready
10,T6,100,5,T5,finished
10,T6,100,6,T6,running
10,T6,100,7,T7,finished
10,T6,100,8,T8,finished
10,T6,100,9,T9,finished
10,T6,100,10,T10,finished
11,IDLE,100,1,T1,missed
11,IDLE,100,2,T2,missed
11,IDLE,100,3,T3,missed
11,IDLE,100,4,T4,ready
11,IDLE,100,5,T5,finished
11,IDLE,100,6,T6,finished
11,IDLE,100,7,T7,finished
11,IDLE,100,8,T8,finished
11,IDLE,100,9,T9,finished
11,IDLE,100,10,T10,finished
12,IDLE,100,1,T1,missed
12,IDLE,100,2,T2,missed
12,IDLE,100,3,T3,missed
12,IDLE,100,4,T4,ready
12,IDLE,100,5,T5,finished
12,IDLE,100,6,T6,finished
12,IDLE,100,7,T7,finished
12,IDLE,100,8,T8,finished
12,IDLE,100,9,T9,finished
12,IDLE,100,10,T10,finished
13,T4,100,1,T1,missed
13,T4,100,2,T2,missed
13,T4,100,3,T3,missed
13,T4,100,4,T4,running
13,T4,100,5,T5,finished
13,T4,100,6,T6,finished
13,T4,100,7,T7,finished
13,T4,100,8,T8,finished
13,T4,100,9,T9,finished
13,T4,100,10,T10,finished
14,T4,100,1,T1,missed
14,T4,100,2,T2,missed
14,T4,100,3,T3,missed
14,T4,100,4,T4,missed
14,T4,100,5,T5,finished
14,T4,100,6,T6,finished
14,T4,100,7,T7,finished
14,T4,100,8,T8,finished
14,T4,100,9,T9,finished
14,T4,100,10,T10,finished
15,IDLE,100,1,T1,missed
15,IDLE,100,2,T2,missed
15,IDLE,100,3,T3,missed
15,IDLE,100,4,T4,ready
15,IDLE,100,5,T5,finished
15,IDLE,100,6,T6,finished
15,IDLE,100,7,T7,finished
15,IDLE,100,8,T8,finished
15,IDLE,100,9,T9,finished
15,IDLE,100,10,T10,finished
16,IDLE,100,1,T1,missed
16,IDLE,100,2,T2,missed
16,IDLE,100,3,T3,missed
16,IDLE,100,4,T4,ready
16,IDLE,100,5,T5,finished
16,IDLE,100,6,T6,finished
16,IDLE,100,7,T7,finished
16,IDLE,100,8,T8,finished
16,IDLE,100,9,T9,finished
16,IDLE,100,10,T10,finished
17,IDLE,100,1,T1,missed
17,IDLE,100,2,T2,missed
17,IDLE,100,3,T3,missed
17,IDLE,100,4,T4,finished
17,IDLE,100,5,T5,finished
17,IDLE,100,6,T6,finished
17,IDLE,100,7,T7,finished
17,IDLE,100,8,T8,finished
17,IDLE,100,9,T9,finished
17,IDLE,100,10,T10,finished
18,IDLE,100,1,T1,missed
18,IDLE,100,2,T2,missed
18,IDLE,100,3,T3,missed
18,IDLE,100,4,T4,finished
18,IDLE,100,5,T5,finished
18,IDLE,100,6,T6,finished
18,IDLE,100,7,T7,finished
18,IDLE,100,8,T8,finished
18,IDLE,100,9,T9,finished
18,IDLE,100,10,T10,finished
19,T4,100,1,T1,missed
19,T4,100,2,T2,missed
19,T4,100,3,T3,missed
19,T4,100,4,T4,running
19,T4,100,5,T5,finished
19,T4,100,6,T6,finished
19,T4,100,7,T7,finished
19,T4,100,8,T8,finished
19,T4,100,9,T9,finished
19,T4,100,10,T10,finished
20,IDLE,100,1,T1,missed
20,IDLE,100,2,T2,missed
20,IDLE,100,3,T3,missed
20,IDLE,100,4,T4,ready
20,IDLE,100,5,T5,finished
20,IDLE,100,6,T6,ready
20,IDLE,100,7,T7,finished
20,IDLE,100,8,T8,finished
20,IDLE,100,9,T9,finished
20,IDLE,100,10,T10,finished
21,T6,100,1,T1,missed
21,T6,100,2,T2,missed
21,T6,100,3,T3,missed
21,T6,100,4,T4,ready
21,T6,100,5,T5,finished
21,T6,100,6,T6,running
21,T6,100,7,T7,finished
21,T6,100,8,T8,finished
21,T6,100,9,T9,finished
21,T6,100,10,T10,finished
22,IDLE,100,1,T1,missed
22,IDLE,100,2,T2,missed
22,IDLE,100,3,T3,missed
22,IDLE,100,4,T4,ready
22,IDLE,100,5,T5,finished
22,IDLE,100,6,T6,finished
22,IDLE,100,7,T7,finished
22,IDLE,100,8,T8,finished
22,IDLE,100,9,T9,finished
22,IDLE,100,10,T10,finished
23,T4,100,1,T1,missed
23,T4,100,2,T2,missed
23,T4,100,3,T3,missed
23,T4,100,4,T4,running
23,T4,100,5,T5,finished
23,T4,100,6,T6,finished
23,T4,100,7,T7,finished
23,T4,100,8,T8,finished
23,T4,100,9,T9,finished
23,T4,100,10,T10,finished
24,IDLE,100,1,T1,missed
24,IDLE,100,2,T2,missed
24,IDLE,100,3,T3,ready
24,IDLE,100,4,T4,ready
24,IDLE,100,5,T5,ready
24,IDLE,100,6,T6,finished
24,IDLE,100,7,T7,finished
24,IDLE,100,8,T8,finished
24,IDLE,100,9,T9,finished
24,IDLE,100,10,T10,finished
25,IDLE,100,1,T1,missed
25,IDLE,100,2,T2,missed
25,IDLE,100,3,T3,ready
25,IDLE,100,4,T4,missed
25,IDLE,100,5,T5,ready
25,IDLE,100,6,T6,finished
25,IDLE,100,7,T7,finished
25,IDLE,100,8,T8,finished
25,IDLE,100,9,T9,finished
25,IDLE,100,10,T10,finished
26,IDLE,100,1,T1,missed
26,IDLE,100,2,T2,missed
26,IDLE,100,3,T3,ready
26,IDLE,100,4,T4,ready
26,IDLE,100,5,T5,finished
26,IDLE,100,6,T6,finished
26,IDLE,100,7,T7,finished
26,IDLE,100,8,T8,finished
26,IDLE,100,9,T9,finished
26,IDLE,100,10,T10,finished
27,IDLE,100,1,T1,missed
27,IDLE,100,2,T2,missed
27,IDLE,100,3,T3,ready
27,IDLE,100,4,T4,finished
27,IDLE,100,5,T5,finished
27,IDLE,100,6,T6,finished
27,IDLE,100,7,T7,finished
27,IDLE,100,8,T8,finished
27,IDLE,100,9,T9,finished
27,IDLE,100,10,T10,finished
28,IDLE,100,1,T1,missed
28,IDLE,100,2,T2,missed
28,IDLE,100,3,T3,missed
28,IDLE,100,4,T4,finished
28,IDLE,100,5,T5,finished
28,IDLE,100,6,T6,finished
28,IDLE,100,7,T7,finished
28,IDLE,100,8,T8,finished
28,IDLE,100,9,T9,finished
28,IDLE,100,10,T10,finished
29,T4,100,1,T1,missed
29,T4,100,2,T2,missed
29,T4,100,3,T3,missed
29,T4,100,4,T4,running
29,T4,100,5,T5,finished
29,T4,100,6,T6,finished
29,T4,100,7,T7,finished
29,T4,100,8,T8,finished
29,T4,100,9,T9,finished
29,T4,100,10,T10,finished
30,IDLE,100,1,T1,missed
30,IDLE,100,2,T2,ready
30,IDLE,100,3,T3,missed
30,IDLE,100,4,T4,ready
30,IDLE,100,5,T5,finished
30,IDLE,100,6,T6,ready
30,IDLE,100,7,T7,finished
30,IDLE,100,8,T8,finished
30,IDLE,100,9,T9,finished
30,IDLE,100,10,T10,finished
31,T6,100,1,T1,missed
31,T6,100,2,T2,ready
31,T6,100,3,T3,missed
31,T6,100,4,T4,ready
31,T6,100,5,T5,finished
31,T6,100,6,T6,running
31,T6,100,7,T7,finished
31,T6,100,8,T8,finished
31,T6,100,9,T9,finished
31,T6,100,10,T10,finished
32,IDLE,100,1,T1,missed
32,IDLE,100,2,T2,ready
32,IDLE,100,3,T3,missed
32,IDLE,100,4,T4,ready
32,IDLE,100,5,T5,ready
32,IDLE,100,6,T6,finished
32,IDLE,100,7,T7,finished
32,IDLE,100,8,T8,finished
32,IDLE,100,9,T9,finished
32,IDLE,100,10,T10,finished
33,IDLE,100,1,T1,missed
33,IDLE,100,2,T2,ready
33,IDLE,100,3,T3,missed
33,IDLE,100,4,T4,ready
33,IDLE,100,5,T5,finished
33,IDLE,100,6,T6,finished
33,IDLE,100,7,T7,finished
33,IDLE,100,8,T8,finished
33,IDLE,100,9,T9,finished
33,IDLE,100,10,T10,finished
34,T4,100,1,T1,missed
34,T4,100,2,T2,ready
34,T4,100,3,T3,missed
34,T4,100,4,T4,running
34,T4,100,5,T5,finished
34,T4,100,6,T6,finished
34,T4,100,7,T7,finished
34,T4,100,8,T8,finished
34,T4,100,9,T9,finished
34,T4,100,10,T10,finished
35,T4,100,1,T1,missed
35,T4,100,2,T2,ready
35,T4,100,3,T3,missed
35,T4,100,4,T4,missed
35,T4,100,5,T5,finished
35,T4,100,6,T6,finished
35,T4,100,7,T7,finished
35,T4,100,8,T8,finished
35,T4,100,9,T9,finished
35,T4,100,10,T10,finished
36,IDLE,100,1,T1,missed
36,IDLE,100,2,T2,ready
36,IDLE,100,3,T3,missed
36,IDLE,100,4,T4,ready
36,IDLE,100,5,T5,finished
36,IDLE,100,6,T6,finished
36,IDLE,100,7,T7,finished
36,IDLE,100,8,T8,finished
36,IDLE,100,9,T9,finished
36,IDLE,100,10,T10,finished
37,IDLE,100,1,T1,missed
37,IDLE,100,2,T2,missed
37,IDLE,100,3,T3,missed
37,IDLE,100,4,T4,finished
37,IDLE,100,5,T5,finished
37,IDLE,100,6,T6,finished
37,IDLE,100,7,T7,finished
37,IDLE,100,8,T8,finished
37,IDLE,100,9,T9,finished
37,IDLE,100,10,T10,finished
38,IDLE,100,1,T1,missed
38,IDLE,100,2,T2,missed
38,IDLE,100,3,T3,missed
38,IDLE,100,4,T4,finished
