META,DeadlineMisses,46
META,CPUUtil,86.5
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
0,IDLE,100,22,T1,ready
0,IDLE,100,23,T2,ready
0,IDLE,100,24,T3,ready
0,IDLE,100,25,T4,finished
0,IDLE,100,26,T5,ready
0,IDLE,100,27,T6,ready
0,IDLE,100,28,T7,ready
0,IDLE,100,29,T8,ready
0,IDLE,100,30,T9,ready
0,IDLE,100,31,T10,ready
1,IDLE,100,22,T1,ready
1,IDLE,100,23,T2,ready
1,IDLE,100,24,T3,ready
1,IDLE,100,25,T4,finished
1,IDLE,100,26,T5,finished
1,IDLE,100,27,T6,ready
1,IDLE,100,28,T7,ready
1,IDLE,100,29,T8,ready
1,IDLE,100,30,T9,ready
1,IDLE,100,31,T10,ready
2,T6,100,22,T1,ready
2,T6,100,23,T2,ready
2,T6,100,24,T3,ready
2,T6,100,25,T4,finished
2,T6,100,26,T5,finished
2,T6,100,27,T6,running
2,T6,100,28,T7,ready
2,T6,100,29,T8,ready
2,T6,100,30,T9,ready
2,T6,100,31,T10,ready
3,IDLE,100,22,T1,ready
3,IDLE,100,23,T2,ready
3,IDLE,100,24,T3,ready
3,IDLE,100,25,T4,finished
3,IDLE,100,26,T5,finished
3,IDLE,100,27,T6,finished
3,IDLE,100,28,T7,ready
3,IDLE,100,29,T8,ready
3,IDLE,100,30,T9,ready
3,IDLE,100,31,T10,ready
4,IDLE,100,22,T1,ready
4,IDLE,100,23,T2,ready
4,IDLE,100,24,T3,missed
4,IDLE,100,25,T4,finished
4,IDLE,100,26,T5,finished
4,IDLE,100,27,T6,finished
4,IDLE,100,28,T7,finished
4,IDLE,100,29,T8,ready
4,IDLE,100,30,T9,ready
4,IDLE,100,31,T10,ready
5,IDLE,100,22,T1,missed
5,IDLE,100,23,T2,ready
5,IDLE,100,24,T3,missed
5,IDLE,100,25,T4,finished
5,IDLE,100,26,T5,finished
5,IDLE,100,27,T6,finished
5,IDLE,100,28,T7,finished
5,IDLE,100,29,T8,ready
5,IDLE,100,30,T9,ready
5,IDLE,100,31,T10,ready
6,IDLE,100,22,T1,missed
6,IDLE,100,23,T2,ready
6,IDLE,100,24,T3,missed
6,IDLE,100,25,T4,finished
6,IDLE,100,26,T5,finished
6,IDLE,100,27,T6,finished
6,IDLE,100,28,T7,finished
6,IDLE,100,29,T8,finished
6,IDLE,100,30,T9,ready
6,IDLE,100,31,T10,ready
7,IDLE,100,22,T1,missed
7,IDLE,100,23,T2,missed
7,IDLE,100,24,T3,missed
7,IDLE,100,25,T4,finished
7,IDLE,100,26,T5,finished
7,IDLE,100,27,T6,finished
7,IDLE,100,28,T7,finished
7,IDLE,100,29,T8,finished
7,IDLE,100,30,T9,finished
7,IDLE,100,31,T10,ready
8,IDLE,100,22,T1,missed
8,IDLE,100,23,T2,missed
8,IDLE,100,24,T3,missed
8,IDLE,100,25,T4,finished
8,IDLE,100,26,T5,finished
8,IDLE,100,27,T6,finished
8,IDLE,100,28,T7,finished
8,IDLE,100,29,T8,finished
8,IDLE,100,30,T9,finished
8,IDLE,100,31,T10,ready
9,IDLE,100,22,T1,missed
9,IDLE,100,23,T2,missed
9,IDLE,100,24,T3,finished
9,IDLE,100,25,T4,finished
9,IDLE,100,26,T5,finished
9,IDLE,100,27,T6,finished
9,IDLE,100,28,T7,finished
9,IDLE,100,29,T8,finished
9,IDLE,100,30,T9,finished
9,IDLE,100,31,T10,ready
10,IDLE,100,22,T1,missed
10,IDLE,100,23,T2,missed
10,IDLE,100,24,T3,finished
10,IDLE,100,25,T4,finished
10,IDLE,100,26,T5,finished
10,IDLE,100,27,T6,ready
10,IDLE,100,28,T7,finished
10,IDLE,100,29,T8,finished
10,IDLE,100,30,T9,finished
10,IDLE,100,31,T10,ready
11,T6,100,22,T1,missed
11,T6,100,23,T2,missed
11,T6,100,24,T3,finished
11,T6,100,25,T4,finished
11,T6,100,26,T5,finished
11,T6,100,27,T6,running
11,T6,100,28,T7,finished
11,T6,100,29,T8,finished
11,T6,100,30,T9,finished
11,T6,100,31,T10,ready
12,IDLE,100,22,T1,missed
12,IDLE,100,23,T2,missed
12,IDLE,100,24,T3,finished
12,IDLE,100,25,T4,finished
12,IDLE,100,26,T5,finished
12,IDLE,100,27,T6,finished
12,IDLE,100,28,T7,ready
12,IDLE,100,29,T8,finished
12,IDLE,100,30,T9,finished
12,IDLE,100,31,T10,ready
13,IDLE,100,22,T1,missed
13,IDLE,100,23,T2,missed
13,IDLE,100,24,T3,finished
13,IDLE,100,25,T4,finished
13,IDLE,100,26,T5,finished
13,IDLE,100,27,T6,finished
13,IDLE,100,28,T7,finished
13,IDLE,100,29,T8,finished
13,IDLE,100,30,T9,finished
13,IDLE,100,31,T10,ready
14,IDLE,100,22,T1,missed
14,IDLE,100,23,T2,missed
14,IDLE,100,24,T3,finished
14,IDLE,100,25,T4,finished
14,IDLE,100,26,T5,finished
14,IDLE,100,27,T6,finished
14,IDLE,100,28,T7,finished
14,IDLE,100,29,T8,finished
14,IDLE,100,30,T9,finished
14,IDLE,100,31,T10,finished
15,IDLE,100,22,T1,missed
15,IDLE,100,23,T2,missed
15,IDLE,100,24,T3,finished
15,IDLE,100,25,T4,finished
15,IDLE,100,26,T5,finished
15,IDLE,100,27,T6,finished
15,IDLE,100,28,T7,finished
15,IDLE,100,29,T8,ready
15,IDLE,100,30,T9,finished
15,IDLE,100,31,T10,finished
16,IDLE,100,22,T1,missed
16,IDLE,100,23,T2,missed
16,IDLE,100,24,T3,finished
16,IDLE,100,25,T4,finished
16,IDLE,100,26,T5,finished
16,IDLE,100,27,T6,finished
16,IDLE,100,28,T7,finished
16,IDLE,100,29,T8,ready
16,IDLE,100,30,T9,finished
16,IDLE,100,31,T10,finished
17,IDLE,100,22,T1,missed
17,IDLE,100,23,T2,missed
17,IDLE,100,24,T3,finished
17,IDLE,100,25,T4,finished
17,IDLE,100,26,T5,finished
17,IDLE,100,27,T6,finished
17,IDLE,100,28,T7,finished
17,IDLE,100,29,T8,finished
17,IDLE,100,30,T9,finished
17,IDLE,100,31,T10,finished
18,IDLE,100,22,T1,missed
18,IDLE,100,23,T2,finished
18,IDLE,100,24,T3,finished
18,IDLE,100,25,T4,finished
18,IDLE,100,26,T5,finished
18,IDLE,100,27,T6,finished
18,IDLE,100,28,T7,finished
18,IDLE,100,29,T8,finished
18,IDLE,100,30,T9,finished
18,IDLE,100,31,T10,finished
19,IDLE,100,22,T1,finished
19,IDLE,100,23,T2,finished
19,IDLE,100,24,T3,finished
19,IDLE,100,25,T4,finished
19,IDLE,100,26,T5,finished
19,IDLE,100,27,T6,finished
19,IDLE,100,28,T7,finished
19,IDLE,100,29,T8,finished
19,IDLE,100,30,T9,finished
19,IDLE,100,31,T10,finished
20,IDLE,100,22,T1,finished
20,IDLE,100,23,T2,finished
20,IDLE,100,24,T3,finished
20,IDLE,100,25,T4,finished
20,IDLE,100,26,T5,finished
20,IDLE,100,27,T6,ready
20,IDLE,100,28,T7,finished
20,IDLE,100,29,T8,finished
20,IDLE,100,30,T9,ready
20,IDLE,100,31,T10,finished
21,T6,100,22,T1,finished
21,T6,100,23,T2,finished
21,T6,100,24,T3,finished
21,T6,100,25,T4,finished
21,T6,100,26,T5,finished
21,T6,100,27,T6,running
21,T6,100,28,T7,finished
21,T6,100,29,T8,finished
21,T6,100,30,T9,ready
21,T6,100,31,T10,finished
22,IDLE,100,22,T1,finished
22,IDLE,100,23,T2,finished
22,IDLE,100,24,T3,finished
22,IDLE,100,25,T4,finished
22,IDLE,100,26,T5,finished
22,IDLE,100,27,T6,finished
22,IDLE,100,28,T7,finished
22,IDLE,100,29,T8,finished
22,IDLE,100,30,T9,ready
22,IDLE,100,31,T10,finished
23,IDLE,100,22,T1,finished
23,IDLE,100,23,T2,finished
23,IDLE,100,24,T3,finished
23,IDLE,100,25,T4,finished
23,IDLE,100,26,T5,finished
23,IDLE,100,27,T6,finished
23,IDLE,100,28,T7,finished
23,IDLE,100,29,T8,finished
23,IDLE,100,30,T9,finished
23,IDLE,100,31,T10,finished
24,IDLE,100,22,T1,finished
24,IDLE,100,23,T2,finished
24,IDLE,100,24,T3,ready
24,IDLE,100,25,T4,finished
24,IDLE,100,26,T5,finished
24,IDLE,100,27,T6,finished
24,IDLE,100,28,T7,ready
24,IDLE,100,29,T8,finished
24,IDLE,100,30,T9,finished
24,IDLE,100,31,T10,finished
25,IDLE,100,22,T1,finished
