Task,Start,End
T1_Fast,0,1
T2_Mid,1,3
T4_Spor,3,5
T1_Fast,5,6
T3_Heavy,6,10
T1_Fast,10,11
T2_Mid,11,13
T5_Aper,13,16
T1_Fast,16,17
T4_Spor,18,20
T1_Fast,20,21
T2_Mid,21,23
T3_Heavy,23,25
T1_Fast,25,26
T3_Heavy,26,28
T1_Fast,30,31
T2_Mid,31,33
T4_Spor,33,35
T1_Fast,35,36
T1_Fast,40,41
T2_Mid,41,43
T3_Heavy,43,45
T1_Fast,45,46
T4_Spor,46,48
T3_Heavy,48,50
T1_Fast,50,51
T2_Mid,51,53
T1_Fast,55,56
T1_Fast,60,61
T2_Mid,61,63
T4_Spor,63,65
T1_Fast,65,66
T3_Heavy,66,70
T1_Fast,70,71
T2_Mid,71,73
T1_Fast,75,76
T1_Fast,80,81
T2_Mid,81,83
T3_Heavy,83,85
T1_Fast,85,86
T3_Heavy,86,88
T1_Fast,90,91
T2_Mid,91,93
T1_Fast,95,96
