Task,Start,End
T1_Fast,0,2
T2_Mid,2,3
T4_Spor,3,5
T1_Fast,5,7
T3_Heavy,9,10
T1_Fast,10,12
T3_Heavy,12,15
T1_Fast,15,17
T2_Mid,17,18
T4_Spor,18,20
T1_Fast,20,22
T3_Heavy,24,25
T1_Fast,25,27
T3_Heavy,27,30
T1_Fast,30,32
T2_Mid,32,33
T4_Spor,33,35
T1_Fast,35,37
T3_Heavy,39,40
T1_Fast,40,42
T3_Heavy,42,43
T3_Heavy,43,45
T4_Spor,45,47
T1_Fast,47,49
T2_Mid,49,50
T1_Fast,50,52
T3_Heavy,54,55
T1_Fast,55,57
T3_Heavy,57,60
T4_Spor,60,62
T1_Fast,62,64
T2_Mid,64,65
T1_Fast,65,67
T3_Heavy,69,70
T1_Fast,70,72
T3_Heavy,72,75
T1_Fast,75,77
T2_Mid,77,80
T1_Fast,80,82
T2_Mid,82,83
T3_Heavy,83,85
T1_Fast,85,87
T3_Heavy,87,90
T1_Fast,90,92
T2_Mid,92,95
T1_Fast,95,97
T2_Mid,97,98
T3_Heavy,98,99
